300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",23478301,Nata Beach Villa,"When visiting Ishigaki, Nata Beach Villa is a great choice to consider. Guests looking for a bite to eat can check out the restaurant, and the bar/lounge is the perfect spot to grab a drink at the end of the day. A terrace and a garden are other highlights. Fellow travelers like the overall property condition.   "
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",54916342,AsobiBASE Yamabare-House,Enjoy your visit to Ishigaki with a stay at AsobiBASE Yamabare-House. Guests will have free perks like WiFi and self parking.   
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",37794143,Ishigakijima Sanshoen Mape-no-yado,"Ishigakijima Sanshoen Mape-no-yado is a great choice for a stay in Ishigaki. Guests will have free perks like WiFi and self parking. A terrace and a garden are offered, and in-room conveniences include refrigerators and microwaves.   "
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",24438901,Ishigakijima Sun Green Grass,Enjoy your visit to Ishigaki with a stay at Ishigakijima Sun Green Grass. Guests will have free perks like WiFi and self parking.   
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",90853020,Meguru Ishigaki,"Situated by the ocean, Meguru Ishigaki is a great choice for a stay in Ishigaki.   "
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",22161116,Lulaliya,"Enjoy your visit to Ishigaki with a stay at Lulaliya. You can unwind with a drink at the bar/lounge, and continental breakfast is available on weekdays.   "
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",33751562,ALOALO BEACH Kabira,
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",6928822,Ishigaki Seaside Hotel,"Situated by the ocean, Ishigaki Seaside Hotel is a great choice for a stay in Ishigaki. The seasonal outdoor pool is a great spot to take a dip, and guests can grab a bite to eat at Moramora, which serves Fusion cuisine and is open for breakfast, lunch, and dinner. Other features include a children's pool, a terrace, and a garden. The pool and helpful staff get good marks from fellow travelers.   "
300000037,1772,"Kochi, Kochi Prefecture, Japan",21639117,Dormy Inn Kochi,"When visiting Kochi, Dormy Inn Kochi is a great choice to consider. Guests can grab a bite to eat at the restaurant, and the sauna makes for a relaxing end to the day.   "
300000037,1772,"Kochi, Kochi Prefecture, Japan",9421324,Kochi Palace Hotel,Kochi Palace Hotel is a great choice for a stay in Kochi. You'll have free perks like WiFi and wired Internet. Fellow travelers like the breakfast.   
300000037,1772,"Kochi, Kochi Prefecture, Japan",5981960,The Crown Palais New Hankyu Kochi,"Located near a train station, The Crown Palais New Hankyu Kochi is a great choice for a stay in Kochi. You can relax with a drink at the bar/lounge, and the 3 restaurants are nice spots to grab a bite to eat. Fellow travelers say good things about the breakfast.   "
300000037,1772,"Kochi, Kochi Prefecture, Japan",9622770,Bright Park Hotel,"When visiting Kochi, Bright Park Hotel is a great choice to consider. Guests indulge in massages, then grab a bite to eat at the restaurant.   "
300000037,1772,"Kochi, Kochi Prefecture, Japan",22417772,Hotel Town Nishikigawa,"When visiting Kochi, Hotel Town Nishikigawa is a great choice to consider.   "
300000037,1772,"Kochi, Kochi Prefecture, Japan",15431284,Hotel AreaOne Kochi,"Located near a train station, Hotel AreaOne Kochi is a great choice for a stay in Kochi. Free perks include WiFi and self parking. Fellow travelers like the overall property condition.   "
300000037,1772,"Kochi, Kochi Prefecture, Japan",9446825,Sansuien,"Sansuien is a great choice for a stay in Kochi. You can be pampered with massages, then unwind with a drink at the bar/lounge.   "
